index,label,tweet
10015,0,आरजू देउवा घरबाट ननिस्केको कती भो? अंझैपनी रांणाहरूकै शासन छ भन्ने भ्रम परे जस्तो छ।
10016,0,अब नेपाली जनता बुझ्ने भइसके कसैले मेरो पार्टीको यती भोट छ नभने हुन्छ।धेरै ठाउँमा पार्टी भन्दा व्यक्ति छानेको देखियो !!
10020,0,हप्तापछिको समाचार अघिल्लो निर्वाचनमा भन्दा यो पटक एमाले आधाभन्दा कम क्षेत्रमा निर्वाचित
10022,0,यो पटक को चुनाबी नतिजाबालेन: हजारसिङ: हजारबिस्थापित: हजारअन्य सबै दल र स्वतन्त्रको गरेर: हजारबदर मत: हजार
10031,0,त्यसैगरी भक्तपुर नगरपालिका वडा नं मा दुई हजार मत ल्याएर नेमकिपाका उम्मेदवार श्यामकृष्ण खत्रीसहितको प्यानल विजयी भएका छन्।
10035,0,काठमाडौं महानगरपालिकामा स्वतन्त्र उम्मेदवारी दिएका बालेन साह अग्रस्थानमा रहेका छन्।
10038,0,"चितवन, माडी नगरपालिकाप्रमुखमा नेकपा एमालेकी ताराकुमारी काजी महतो रउपप्रमुखमा कांग्रेसका खेम महतो निर्वाचित ।"
10042,0,चुनाव आउने बेला सबै खाले कोरोना को अन्त भएछ चुनाव पछि फेरि कोरोना को चौथो लहर आयो भने तेस्कोनाम मेयर अध्यक्ष सदस्य हुनेछ अहिले सम्म मानव इतिहास मा यो भर्जन को कुनै कतै भ्याक्सिन बनेको छैन
10045,0," तोरी मुला पत्रकारको नामको कलंकमेयर भएसी सोधकाम गर्नेले गफ कम गर्छन्, भुक्ने त एमाले कांग्रेसका छन् त"
10052,0,शिक्षित गवाँर काठमाडौं का भोटरहरु । जम्मा % भोट खस्यो रे ।  % त हाम्रै टिकापुरमा खसेको छ यार ।
10067,0,स्थानीय तह निर्वाचन नतिजा [ ]
10068,0,प्रकारका निर्वाचन सामग्री बुझेर कर्मचारी हिंडे मतदान स्थलतिर
10070,0,विराटनगर महानगरपालिकाको मेयरमा एमालेबाट सागर थापाले उम्मेदवारी दर्ता गराएका छन् ।
10075,0," अब सिधै मतपत्रमा हान्ने हो।आठ सुर्य सात छाप, समृद्धि नेपाल सुखी नेपाली जिन्दबाद ।"
10083,0,मतदाताको नयाँपनको रूचिलाई दलहरुले उम्मेदवार चयनमा बेवास्ता गर्दा पुराना जनप्रतिनिधि पराजित !
10130,0,देशमा लाटा गाडा मात्र बचेका छन यिनलाई भाषण सुनाई दिनु पर्छ खुब ताली ठोक्छन काङ्रेस एमाले माओबादी सबैले यही फाईदा लिएका छन
10144,0,वर्ष उमेर पुगेकाले समेत हालसम्म भोट हाल्न नपाएका मधेश प्रदेशका कयाैं वस्तीका नागरिकहरु यसपल्ट पनि मताधिकारबाट वञ्चित बन्दैछन् । लोकतन्त्रमा सबभन्दा ठूलो नागरिक अधिकार मानिने मताधिकारबाटै वञ्चित गर्ने नीति र अभ्यासको कथाः
10157,0,का केन्द्रीय सदस्य आसन्न स्थानीय तह निर्वाचनमा कांग्रेसलाई विजयी गराउन गृह जिल्ला नवलपुरको निर्वाचन अभियानमा होमिएका छन्।
10159,0,ललितपुरको मेयरमा कांग्रेसबाट चिरिबाबुको उम्मेदवारी दर्ता
10161,0," खगेन्द्र बाजे जस्तो मान्छेलाइ लगेर चुनाब प्रचार गराउने। अल्ट्रा लेफ्ट बिचारले ग्रस्त, एयरपोर्टको मुवाब्जाको इस्युलाइ लिएर एजेन्डा बनाएर उठेका थिए। न भिजन न सोच न केहि। भुत्रो आउछ भोट।"
10164,0,फ्याट नेपाल अर्को भीम उपाध्याय रैछ सिधै व्लक गरियो।
10176,0,"रामेछाप, मन्थली नगरपालिका नेकपा एमाले विजयीप्रमुखमा लब श्रेष्ठ र उपप्रमुखमा ईश्वरी बस्नेत निर्वाचित ।"
10183,0," ओइ जिमु ढुङ्गाना नेपाल तेरो वाउ को हो भने तेरो वाउ विदेश बस्ने सब नेपाली। साले मगन्ते पत्रकार, नेपाल को पत्रकारीता कसरी चल्छ भन्ने हामी लाई थाहा छैन र।"
10187,0,कालीकोटका नौवटै पालिकामा विप्लव नेकपाको उम्मेदवारी
10190,0,एमाले बाहेक देश मा अरु के हो संभावना छ र ।।।।
10194,0,एन्फाको निर्वाचन आगामी असार गते हुनेछ ।  
10204,0,"भोजपुरमा एमालेसँग तालमेल : कार्यकर्तालाई उम्मेदवारी फिर्ता लिन कांग्रेसको निर्देशन, नत्र पार्टीबाटै निकालिदिने "
10206,0,एमाले राम्रो संगठन भएको पार्टी हो त्यसैले मिडियामा आएको जस्तो छैन अबस्था
10213,0,निर्वाचन आयोगले सुदूरपश्चिम प्रदेशका मुख्यमन्त्री त्रिलोचन भट्ट र निर्वाचन पर्यवेक्षण समिति नेपालका अध्यक्ष प्रदीप पोखरेललाई स्पष्टीकरण सोधेको छ। 
10234,0,जिल्लाको सबैभन्दा विकट क्षेत्र रहेको व्यास गाउँपालिका– को छाङ्गरु र तिंकरमा हेलिकप्टरमार्फत निर्वाचन सामग्री र सुरक्षाकर्मी जाँदै । नेपालतिर बाटो नहुँदा छाङ्गरु र तिंकरमा सुरक्षाकर्मी र निर्वाचन सामग्री लिन नेपाली सेनाको हेलिकप्टर प्रयोग ल्याएकोे हो । नरेन्द्रसिह कार्की÷रासस
10254,0,त्यसैले लायक समिक्षालाई भोट दिउ भन्न     नभए लौरो भोट भनिदे
10262,0,प्रधानमन्त्री देउवा मतदान गरेपछि मात्रै काठमाडौं फर्किने
10264,0,"उहिले कम्युनिस्ट र कांग्रेस बिच पानी बराबर हुन्थ्यो, अर्मपर्म बन्द हुन्थ्यो, सरसापट अचल हुन्थ्यो, बिहेबारी समेत रोक्का हुन्थ्यो । चिया खाने पसल समेत भिन्नै हुन्थ्यो ।आजकाल त एकले अर्काको लागि भोट मागिदिन थाले कम्युनिस्ट र कांग्रेसहरु ।यो भन्दा सुन्दर लोकतन्त्र अरु के होला र ।"
10271,0,मिथिलामा एमाले विवाद उत्कर्षमा : बैठकमै रघुवीर महासेठलाई हुलहुज्जत
10281,0,राप्ती गाउँपालिकाकाे मत गणना सकियाे !!!स्थानीय तह निर्वाचन काे निर्वाचनपछिराप्ती गाउँपालिकामा यस्ताे बन्याे स्थानीय सरकार ।। बाम गठबन्धनकाे बहुमतकाे सरकार !!!नेकपा माओवादी केन्द्र : - पालिका अध्यक्ष : प्रकाश बिष्ट सहित- नम्बर वडा अध्यक्ष-पहलमान चाैधरी
10282,0,थान मतदाता परिचय पत्र खोसेर भाग्ने निवर्तमान वडाध्यक्ष महेश्वर काफ्ले पक्राउ -
10285,0,रुपन्देहीमा निर्वाचन तयारी पूरा
10290,0,देउवाजीले उम्मेद्‌वारी फिर्ताका लागि प्रेसर गर्नुभयो : पालुङटार मेयरका कांग्रेस उम्मेद्‌वार कँडेल
10292,0,निर्वाचन आयोगद्वारा स्थानीय तह निर्वाचनका उम्मेदवारको सूची सार्वजनिक
10294,0,एमाले र माओवादीले एक-अर्कालाई सघाएर हात पारे दुई पालिकामा अध्यक्ष
10300,0,मैले त चुनाव नहुदै पत्याको थिएँ । मैले त अमित सरले जे लेखे नि आँखा चिम्लेर पत्याउँछु ।
10318,0,एमालेबाट घोराहीको मेयरमा पुन: चौधरीको उम्मेदवारी
10337,0,"तर, चुनाव, अरुकै देशको नेताले जित्छ !! "
10340,0,चुनाव अघि एमाले बाहेक सबै पत्तासाप हुन्छ भन्ने एमालेजन अहिले कोमामा छन कि ब्लक नै गरिसके ? आजकल त देखिदैनन त ।
10344,0,नेकपा एमाले पञ्चपुरीको घोषणापत्र सार्वजनिक
10345,0,सुनसरीको दुहबीमा कांग्रेस र एमाले कार्यकर्ताबीच झडप
10346,0,कंचनपुरको शुक्लाफाँटा नगरपालिकाको ताजा अपडेट ( मत गन्दा)मेयरमाओवादीः एमालेः काङ्ग्रेसः उपमेयरएकीकृत समाजवादीः एमालेः काङ्ग्रेसः
10349,0,मोदिले नेपाली भाषामा बोल्यो भनेर मख्ख पर्ने हैन नि फेरी
10350,0,सत्ता गठबन्धन केवल सत्ता स्वार्थका लागि मात्र भएको ओलीको दाबी छ। जनतालाई थर्काएर र धम्काएर भोट नमाग्न गठबन्धनका नेतालाई आग्रह गर्दै भयरहित वातावरणमा निर्वाचन गर्नुपर्नेउनले बताए ।
10361,0,म पनि कुनै जादु होला र मेयर हौला भनेर ढुक्क छु।
